S.No.,Hospital Name,A+,A-,B+,B-,O+,O-,AB+,AB-,Total Units,Last Updated Date
67,JAMSHEDPUR BLOOD BANK,0,0,0,0,0,0,0,0,0,03-05-2024 17:02
68,Blood Bank Raj Hospital Ranchi,0,0,18,0,0,0,0,0,18,04-05-2024 08:14
69,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",0,0,24,0,3,0,0,1,28,04-05-2024 08:15
70,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,04-05-2024 08:35
71,"Blood Bank, Shanti Bhawan Medical Centre Simdega",4,0,1,0,1,0,1,0,7,04-05-2024 08:51
72,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",0,0,1,2,4,1,2,1,11,04-05-2024 09:23
73,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,6,0,4,0,0,0,11,04-05-2024 09:34
74,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,6,0,4,0,0,0,11,04-05-2024 09:34
75,"Blood Bank, Sadar Hospital, Giridih",0,0,14,0,11,2,1,0,28,04-05-2024 09:52
76,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,04-05-2024 10:03
77,Blood Bank Dhanbad,0,0,24,1,11,2,1,0,39,04-05-2024 10:09
78,"Blood Bank, Sadar Hospital, Ramgarh",1,0,14,1,6,1,5,0,28,04-05-2024 10:27
79,Asarfi Blood Centre,0,0,5,0,5,0,0,0,10,04-05-2024 10:30
80,Asarfi Blood Centre,0,0,5,0,5,0,0,0,10,04-05-2024 10:30
81,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",2,0,26,0,4,0,0,1,33,05-05-2024 07:27
82,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,05-05-2024 07:28
83,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,05-05-2024 07:28
84,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,05-05-2024 07:28
85,Rinchi Trust Hospital Blood Bank,41,0,24,0,25,0,1,0,91,05-05-2024 07:54
86,"Blood Bank, Sadar Hospital, Ramgarh",6,0,10,1,6,0,4,0,27,05-05-2024 08:01
87,Blood Bank Raj Hospital Ranchi,0,0,18,0,0,0,0,0,18,05-05-2024 08:24
88,Lake View Hospital Blood Centre,1,0,2,0,1,0,0,0,4,05-05-2024 08:29
89,Paras Hospital HEC,2,0,4,0,2,0,0,0,8,05-05-2024 09:09
90,Paras Hospital HEC,2,0,4,0,2,0,0,0,8,05-05-2024 09:09
91,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,05-05-2024 09:20
92,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,05-05-2024 09:20
93,"Health Point Hospital, Blood Centre",1,0,5,0,0,0,0,0,6,01-05-2024 06:54
94,"Blood Bank, Medanta Hospital, RANCHI",3,0,5,1,5,0,0,0,14,01-05-2024 12:13
95,"Health Point Hospital, Blood Centre",2,0,5,0,0,0,0,0,7,02-05-2024 09:48
96,"Blood Bank, Sadar Hospital, Jamtara",0,1,2,0,10,0,0,0,13,02-05-2024 10:33
97,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,03-05-2024 07:22
98,"Blood Bank, Sadar Hospital, Giridih",0,0,13,0,14,2,0,0,29,03-05-2024 16:28
99,Paras Hospital HEC,2,0,4,0,2,0,0,0,8,04-05-2024 09:40
100,Paras Hospital HEC,2,0,4,0,2,0,0,0,8,04-05-2024 09:40
101,"Blood Bank, Sadar Hospital, Palamu",8,1,122,0,6,0,27,0,164,05-05-2024 09:55
102,"Blood Bank, Sadar Hospital, Palamu",8,1,122,0,6,0,27,0,164,05-05-2024 09:55
103,"Blood Bank, Sadar Hospital, Palamu",8,1,122,0,6,0,27,0,164,05-05-2024 09:55
104,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",0,0,24,1,24,0,0,0,49,05-05-2024 10:23
105,"Blood Bank, Medanta Hospital, RANCHI",2,0,8,0,6,0,0,0,16,05-05-2024 10:28
106,"Blood Bank, Medanta Hospital, RANCHI",2,0,8,0,6,0,0,0,16,05-05-2024 10:28
107,"Blood Bank, Medanta Hospital, RANCHI",2,0,8,0,6,0,0,0,16,05-05-2024 10:29
108,"Blood Bank, Medanta Hospital, RANCHI",2,0,8,0,6,0,0,0,16,05-05-2024 10:29
109,Asarfi Blood Centre,0,0,5,0,4,0,0,0,9,05-05-2024 11:35
110,Blood Bank Dhanbad,3,0,20,1,9,2,4,0,39,05-05-2024 11:52
111,Jharkhand Blood Bank,0,1,11,0,2,0,2,0,16,05-05-2024 15:02
112,"Blood Bank Division, Devkamal Hospital & Reseach Centere",10,1,21,0,20,0,6,1,59,06-05-2024 06:07
113,"Blood Bank Division, Devkamal Hospital & Reseach Centere",10,1,21,0,20,0,6,1,59,06-05-2024 06:07
114,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,06-05-2024 08:30
115,Blood Bank Raj Hospital Ranchi,0,0,15,0,0,0,0,0,15,06-05-2024 08:34
116,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",0,1,3,2,5,1,1,1,14,06-05-2024 09:24
117,"Blood Bank, C.C.L. RANCHI",4,0,2,0,4,0,0,0,10,06-05-2024 09:43
118,Blood Bank Dhanbad,0,0,26,1,12,2,0,0,41,06-05-2024 09:57
119,"Shrinivas Blood Bank,HAZARIBAGH",0,0,1,0,3,0,0,0,4,06-05-2024 10:04
120,Lake View Hospital Blood Centre,1,0,2,0,0,0,0,0,3,06-05-2024 10:08
121,"Blood Bank, Sadar Hospital,Deoghar",2,0,6,0,0,2,2,0,12,06-05-2024 11:21
122,"Blood Bank, Rajendra Institute of Medical Sciences,RANCHI",0,0,0,0,0,0,0,0,0,06-05-2024 11:42
123,Asarfi Blood Centre,0,0,6,0,4,0,0,0,10,06-05-2024 13:45
124,Om Sai Blood Centre,3,0,6,0,12,0,5,1,27,06-05-2024 14:02
125,Asarfi Blood Centre,0,0,6,0,4,0,0,0,10,06-05-2024 14:15
126,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",4,1,63,0,66,0,0,0,134,07-05-2024 05:38
127,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",1,0,25,0,6,0,3,0,35,07-05-2024 08:05
128,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,07-05-2024 08:28
129,"Blood Bank, Shanti Bhawan Medical Centre Simdega",5,0,1,0,1,0,0,0,7,07-05-2024 08:57
130,"Blood Bank, Shanti Bhawan Medical Centre Simdega",5,0,1,0,1,0,0,0,7,07-05-2024 08:59
131,Rinchi Trust Hospital Blood Bank,45,0,23,0,24,0,1,0,93,07-05-2024 09:40
132,"Blood Bank, Sadar Hospital, Palamu",12,0,115,0,8,0,28,0,163,07-05-2024 09:58
133,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",1,0,23,1,5,0,1,1,32,01-05-2024 03:37
134,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,01-05-2024 07:53
135,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",1,0,33,0,29,1,0,0,64,01-05-2024 09:52
136,"The Blood Bank, Sadar Hospital, Gumla",7,1,5,1,9,4,1,0,28,01-05-2024 14:31
137,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,4,0,0,0,0,0,4,03-05-2024 08:29
138,SADAR HOSPITAL RANCHI,1,0,0,0,0,0,0,0,1,03-05-2024 08:31
139,"Blood Bank, K.M.Memorial Hospital Research Centre, BOKARO",7,0,21,4,20,0,6,2,60,03-05-2024 10:32
140,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",0,0,31,0,28,0,0,0,59,03-05-2024 10:48
141,Bokaro General Hospital,21,0,40,2,21,1,13,0,98,03-05-2024 12:54
142,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,1,0,1,0,0,0,2,04-05-2024 07:37
143,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,04-05-2024 07:39
144,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,4,0,3,0,0,0,8,04-05-2024 09:15
145,"MGMMCH, Jamshedpur",8,0,2,0,6,0,1,0,17,04-05-2024 11:19
146,"MGMMCH, Jamshedpur",8,0,2,0,6,0,1,0,17,04-05-2024 11:19
147,"Blood Bank, Shanti Bhawan Medical Centre Simdega",4,0,1,0,1,0,1,0,7,05-05-2024 08:31
148,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",1,0,24,0,4,0,1,1,31,06-05-2024 08:44
149,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,6,0,4,0,0,0,11,07-05-2024 09:36
150,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,3,1,1,0,1,0,7,07-05-2024 09:40
151,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,3,1,1,0,1,0,7,07-05-2024 09:40
152,"Blood Bank, K.M.Memorial Hospital Research Centre, BOKARO",4,0,22,1,27,0,3,2,59,07-05-2024 10:13
153,"Blood Bank, Sadar Hospital, Ramgarh",5,0,9,2,5,0,3,0,24,07-05-2024 10:20
154,"Blood Bank, C.C.L. RANCHI",4,0,6,0,5,0,2,0,17,07-05-2024 10:23
155,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,07-05-2024 10:34
156,Bokaro General Hospital,16,0,43,2,18,2,14,0,95,07-05-2024 10:44
157,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",7,0,20,1,26,0,0,0,54,07-05-2024 10:52
158,"MGMMCH, Jamshedpur",1,0,0,0,0,0,0,0,1,07-05-2024 12:27
159,"MGMMCH, Jamshedpur",1,0,0,0,0,0,0,0,1,07-05-2024 12:27
160,"Blood Bank, Sadar Hospital, Dumka",25,6,66,2,90,6,17,1,213,07-05-2024 13:15
161,"Blood Bank, Sadar Hospital, Dumka",25,6,66,2,90,6,17,1,213,07-05-2024 13:16
162,Shrinivas Blood Centre,0,0,0,0,1,0,0,0,1,07-05-2024 17:20
163,Shrinivas Blood Centre,0,0,0,0,1,0,0,0,1,07-05-2024 17:20
164,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",5,1,60,0,61,0,1,0,128,08-05-2024 05:45
165,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,08-05-2024 06:52
166,"Blood Bank, K.M.Memorial Hospital Research Centre, BOKARO",6,0,25,2,25,0,1,2,61,08-05-2024 07:34
167,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,08-05-2024 08:15
168,"Blood Bank, Shanti Bhawan Medical Centre Simdega",5,0,1,0,1,0,0,0,7,08-05-2024 08:46
169,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",1,1,2,2,5,1,1,1,14,08-05-2024 08:50
170,Lake View Hospital Blood Centre,1,0,2,0,1,0,0,0,4,08-05-2024 08:53
171,"Blood Bank, Sadar Hospital, Giridih",11,0,27,0,12,1,3,0,54,08-05-2024 09:04
172,"Blood Bank, Shanti Bhawan Medical Centre Simdega",4,0,0,0,2,0,1,0,7,01-05-2024 09:15
173,"Blood Bank, Sadar Hospital, Giridih",0,0,8,1,0,2,0,0,11,01-05-2024 10:04
174,JAMSHEDPUR BLOOD BANK,0,0,0,0,0,0,0,0,0,01-05-2024 12:56
175,JAMSHEDPUR BLOOD BANK,0,0,0,0,0,0,0,0,0,01-05-2024 13:01
176,"Blood Bank, Sadar Hospital, Giridih",0,0,9,1,0,2,0,0,12,01-05-2024 16:30
177,"Blood Bank, Sadar Hospital, Giridih",0,0,9,1,0,2,0,0,12,01-05-2024 16:30
178,SADAR HOSPITAL RANCHI,1,0,0,0,0,0,0,0,1,02-05-2024 06:40
179,SADAR HOSPITAL RANCHI,1,0,0,0,0,0,0,0,1,02-05-2024 06:40
180,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",3,0,4,2,2,0,2,1,14,02-05-2024 09:51
181,"Health Point Hospital, Blood Centre",2,0,2,0,0,0,0,0,4,02-05-2024 09:52
182,Asarfi Blood Centre,0,0,6,0,5,0,0,0,11,02-05-2024 10:27
183,Rinchi Trust Hospital Blood Bank,20,0,35,0,37,0,2,0,94,02-05-2024 10:27
184,Rinchi Trust Hospital Blood Bank,20,0,35,0,38,0,2,0,95,02-05-2024 10:27
185,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,4,0,3,0,0,0,8,02-05-2024 10:28
186,Bokaro General Hospital,24,0,39,3,25,1,13,0,105,02-05-2024 11:17
187,"Blood Bank, C.C.L. RANCHI",5,0,5,0,5,0,0,0,15,04-05-2024 09:53
188,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",0,0,24,1,24,0,0,0,49,04-05-2024 10:08
189,"Health Point Hospital, Blood Centre",1,0,2,0,0,0,0,0,3,05-05-2024 07:00
190,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,05-05-2024 07:29
191,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",4,0,64,0,66,0,5,0,139,05-05-2024 08:01
192,Shrinivas Blood Centre,0,0,0,0,1,0,0,0,1,05-05-2024 12:45
193,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,06-05-2024 10:26
194,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,06-05-2024 10:26
195,JAMSHEDPUR BLOOD BANK,0,0,0,0,0,0,0,0,0,06-05-2024 17:38
196,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",0,1,3,2,5,1,1,1,14,07-05-2024 09:26
197,"Blood Bank, Sadar Hospital, Giridih",2,0,11,0,2,1,1,0,17,07-05-2024 09:26
198,"Blood Bank, Sadar Hospital, Giridih",2,0,11,0,2,1,1,0,17,07-05-2024 09:26
199,Blood Bank Dhanbad,5,0,18,1,12,1,0,0,37,07-05-2024 10:17
200,SINGHPUR NURSING HOME BLOOD CENTRE,8,0,7,0,5,0,1,0,21,07-05-2024 11:59
201,"Blood Bank, Sadar Hospital, Jamtara",3,1,3,0,0,0,0,0,7,07-05-2024 12:39
202,JAMSHEDPUR BLOOD BANK,0,0,0,0,0,0,0,0,0,07-05-2024 15:52
203,Paras Hospital HEC,1,0,3,0,0,0,0,0,4,08-05-2024 08:31
204,"Blood Bank, Sadar Hospital, Dumka",19,4,49,1,63,3,11,1,151,01-05-2024 11:56
205,"Blood Bank, Sadar Hospital, Giridih",7,1,10,1,18,2,0,0,39,02-05-2024 18:29
206,"Blood Bank, Sadar Hospital, Giridih",7,1,10,1,18,2,0,0,39,02-05-2024 18:29
207,"Blood Bank, Sadar Hospital, Ramgarh",2,0,8,0,6,1,4,0,21,03-05-2024 10:31
208,JAMSHEDPUR BLOOD BANK,0,0,0,0,0,0,0,0,0,03-05-2024 17:11
209,Rinchi Trust Hospital Blood Bank,40,0,23,0,25,1,2,0,91,04-05-2024 08:05
210,Rinchi Trust Hospital Blood Bank,40,0,23,0,25,1,2,0,91,04-05-2024 08:05
211,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,05-05-2024 08:59
212,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,06-05-2024 07:38
213,SINGHPUR NURSING HOME BLOOD CENTRE,8,0,9,0,4,0,1,0,22,06-05-2024 09:28
214,Paras Hospital HEC,2,0,4,0,0,0,0,0,6,06-05-2024 09:30
215,Paras Hospital HEC,2,0,4,0,0,0,0,0,6,06-05-2024 09:30
216,"Blood Bank, Sadar Hospital, Palamu",9,1,115,0,12,0,27,0,164,06-05-2024 10:05
217,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,07-05-2024 06:44
218,Paras Hospital HEC,1,0,3,0,0,0,0,0,4,08-05-2024 08:32
219,"Blood Bank, Sadar Hospital, Palamu",12,0,115,0,8,0,30,0,165,08-05-2024 08:37
220,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",0,0,22,0,0,0,2,0,24,08-05-2024 08:57
221,"Blood Bank, Sadar Hospital, Giridih",11,0,27,0,12,1,3,0,54,08-05-2024 09:04
222,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,3,1,1,0,1,0,7,08-05-2024 09:50
223,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,5,1,0,0,0,0,7,08-05-2024 09:52
224,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,5,1,0,0,0,0,7,08-05-2024 09:52
225,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,5,1,0,0,0,0,7,08-05-2024 09:54
226,Blood Bank Dhanbad,10,0,22,1,3,0,0,0,36,08-05-2024 10:24
227,"Blood Bank, Sadar Hospital, Ramgarh",4,0,11,2,6,0,3,0,26,08-05-2024 10:40
228,"Sub-divisional Hospital Blood Bank, Latehar",0,0,1,0,0,0,0,1,2,08-05-2024 10:48
229,"Blood Bank, Medanta Hospital, RANCHI",3,0,8,0,7,0,3,0,21,08-05-2024 11:18
230,"Blood Bank, Sadar Hospital,Deoghar",4,0,1,0,5,0,2,0,12,08-05-2024 13:06
231,"Blood Bank, Sadar Hospital, Giridih",11,0,34,0,9,1,3,0,58,08-05-2024 17:16
232,"Blood Bank, Sadar Hospital, Giridih",11,0,34,0,9,1,3,0,58,08-05-2024 17:16
233,Blood Bank Sadar Hospital Jamshedpur,4,0,8,0,7,0,0,0,19,08-05-2024 19:10
234,Blood Bank Sadar Hospital Jamshedpur,4,0,8,0,7,0,0,0,19,08-05-2024 19:10
235,Blood Bank Sadar Hospital Jamshedpur,4,0,8,0,7,0,0,0,19,08-05-2024 19:10
236,Blood Bank Sadar Hospital Jamshedpur,4,0,8,0,7,0,0,0,19,08-05-2024 19:11
237,Blood Bank Sadar Hospital Jamshedpur,4,0,8,0,7,0,1,0,20,08-05-2024 19:12
238,Blood Bank Sadar Hospital Jamshedpur,4,0,8,0,7,0,1,0,20,08-05-2024 19:12
239,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,09-05-2024 07:18
240,"Blood Bank, K.M.Memorial Hospital Research Centre, BOKARO",10,0,23,2,22,0,0,2,59,09-05-2024 09:44
241,"Blood Bank, Sadar Hospital, Jamtara",2,1,3,0,1,0,2,0,9,09-05-2024 09:55
242,"Blood Bank, Sadar Hospital, Jamtara",2,1,3,0,1,0,2,0,9,09-05-2024 09:55
243,"Blood Bank, Sadar Hospital, Jamtara",2,1,3,0,1,0,2,0,9,09-05-2024 09:55
244,"Blood Bank, Sadar Hospital, Jamtara",2,1,3,0,1,0,2,0,9,09-05-2024 09:55
245,"MGMMCH, Jamshedpur",6,0,8,0,9,0,0,0,23,01-05-2024 15:01
246,Blood Bank Dhanbad,0,0,28,1,11,2,1,0,43,02-05-2024 11:11
247,"Blood Bank, Medanta Hospital, RANCHI",0,0,9,0,5,0,0,0,14,04-05-2024 15:16
248,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",0,1,3,2,5,1,1,1,14,05-05-2024 08:14
249,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,05-05-2024 08:15
250,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,05-05-2024 08:15
251,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,05-05-2024 08:15
252,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",0,1,3,2,5,1,1,1,14,05-05-2024 08:15
253,"Blood Bank, Sadar Hospital, Ramgarh",5,0,10,2,7,0,4,0,28,06-05-2024 10:38
254,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,07-05-2024 00:19
255,Lake View Hospital Blood Centre,2,0,2,0,2,0,0,0,6,07-05-2024 08:40
256,Lake View Hospital Blood Centre,2,0,2,0,2,0,0,0,6,07-05-2024 08:40
